YEAR,MO,DY,HR,T2M,T2MDEW,T2MWET,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WD10M,WS50M,WD50M,ALLSKY_SFC_SW_DWN
2020,1,1,0,25.51,17.98,21.74,12.76,63.06,0.0,101.44,4.33,57.23,7.11,56.97,0.0
2020,1,1,1,24.66,17.89,21.28,12.63,65.88,0.0,101.38,4.16,51.71,6.96,51.38,0.0
2020,1,1,2,23.95,17.99,20.98,12.76,69.19,0.0,101.32,4.18,46.97,6.94,46.64,0.0
2020,1,1,3,23.36,18.23,20.79,12.94,72.81,0.0,101.3,4.24,43.66,6.97,43.5,0.0
2020,1,1,4,22.82,18.55,20.69,13.18,76.69,0.0,101.3,4.03,41.7,6.83,41.8,0.0
2020,1,1,5,22.34,18.84,20.59,13.43,80.5,0.0,101.34,3.72,39.54,6.53,39.32,0.0
2020,1,1,6,22.27,19.11,20.69,13.67,82.12,0.0,101.42,3.69,35.95,6.01,36.07,22.25
2020,1,1,7,24.66,19.27,21.97,13.79,71.88,0.0,101.51,5.39,44.3,7.02,47.07,196.27
2020,1,1,8,27.87,18.88,23.37,13.43,58.06,0.0,101.57,6.86,56.71,8.51,57.97,445.16
2020,1,1,9,30.78,17.98,24.37,12.7,46.31,0.0,101.58,6.69,61.4,8.01,61.79,645.13
2020,1,1,10,33.08,17.21,25.14,12.08,38.81,0.0,101.53,6.04,61.64,7.11,61.72,783.17
2020,1,1,11,34.69,16.59,25.64,11.66,34.06,0.0,101.41,5.6,61.43,6.61,61.62,852.28
2020,1,1,12,35.79,16.03,25.91,11.23,30.94,0.0,101.27,5.36,62.02,6.35,62.27,864.22
2020,1,1,13,36.38,15.56,25.97,10.93,29.06,0.0,101.11,5.29,63.06,6.29,63.18,795.62
2020,1,1,14,36.44,15.16,25.8,10.68,28.25,0.0,101.01,5.41,63.66,6.46,63.74,659.61
2020,1,1,15,35.92,15.03,25.48,10.56,28.81,0.0,100.99,5.65,63.54,6.84,63.64,459.71
2020,1,1,16,34.62,15.44,25.03,10.86,31.81,0.0,101.03,5.58,62.57,7.22,62.82,222.98
2020,1,1,17,31.58,17.15,24.37,12.15,42.12,0.0,101.11,4.4,59.7,7.64,60.0,30.05
2020,1,1,18,30.0,17.77,23.89,12.57,47.88,0.0,101.23,4.81,54.58,8.38,54.9,0.0
2020,1,1,19,29.78,18.16,23.97,12.88,49.69,0.0,101.36,5.62,50.02,9.01,50.24,0.0
2020,1,1,20,29.14,18.55,23.84,13.18,52.81,0.0,101.44,5.83,46.68,8.94,46.88,0.0
2020,1,1,21,28.31,18.84,23.58,13.43,56.44,0.0,101.48,5.76,45.0,8.74,45.29,0.0
2020,1,1,22,27.45,18.99,23.22,13.55,59.88,0.0,101.5,5.45,45.23,8.44,45.3,0.0
2020,1,1,23,26.68,18.94,22.8,13.49,62.44,0.0,101.51,5.13,45.12,8.08,44.96,0.0
